intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
588;813676445;2023-01-01;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301010000;TrafficFlowObserved;bicycle;False
974;813676445;2023-01-02;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301020000;TrafficFlowObserved;bicycle;False
1694;813676445;2023-01-03;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301030000;TrafficFlowObserved;bicycle;False
1755;813676445;2023-01-04;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301040000;TrafficFlowObserved;bicycle;False
1976;813676445;2023-01-05;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301050000;TrafficFlowObserved;bicycle;False
2015;813676445;2023-01-06;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301060000;TrafficFlowObserved;bicycle;False
1298;813676445;2023-01-07;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301070000;TrafficFlowObserved;bicycle;False
1037;813676445;2023-01-08;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301080000;TrafficFlowObserved;bicycle;False
1887;813676445;2023-01-09;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301090000;TrafficFlowObserved;bicycle;False
2053;813676445;2023-01-10;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301100000;TrafficFlowObserved;bicycle;False
1897;813676445;2023-01-11;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301110000;TrafficFlowObserved;bicycle;False
2096;813676445;2023-01-12;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301120000;TrafficFlowObserved;bicycle;False
1978;813676445;2023-01-13;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301130000;TrafficFlowObserved;bicycle;False
1452;813676445;2023-01-14;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301140000;TrafficFlowObserved;bicycle;False
1021;813676445;2023-01-15;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301150000;TrafficFlowObserved;bicycle;False
1761;813676445;2023-01-16;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301160000;TrafficFlowObserved;bicycle;False
1872;813676445;2023-01-17;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301170000;TrafficFlowObserved;bicycle;False
1729;813676445;2023-01-18;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301180000;TrafficFlowObserved;bicycle;False
1964;813676445;2023-01-19;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301190000;TrafficFlowObserved;bicycle;False
1784;813676445;2023-01-20;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301200000;TrafficFlowObserved;bicycle;False
1224;813676445;2023-01-21;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301210000;TrafficFlowObserved;bicycle;False
883;813676445;2023-01-22;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301220000;TrafficFlowObserved;bicycle;False
1681;813676445;2023-01-23;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301230000;TrafficFlowObserved;bicycle;False
1830;813676445;2023-01-24;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301240000;TrafficFlowObserved;bicycle;False
1752;813676445;2023-01-25;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301250000;TrafficFlowObserved;bicycle;False
1902;813676445;2023-01-26;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301260000;TrafficFlowObserved;bicycle;False
1762;813676445;2023-01-27;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301270000;TrafficFlowObserved;bicycle;False
1185;813676445;2023-01-28;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301280000;TrafficFlowObserved;bicycle;False
859;813676445;2023-01-29;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301290000;TrafficFlowObserved;bicycle;False
9;813676445;2023-01-30;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202301300000;TrafficFlowObserved;bicycle;False
3;813676445;2023-02-05;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202302050000;TrafficFlowObserved;bicycle;False
1500;813676445;2023-02-10;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202302100000;TrafficFlowObserved;bicycle;False
1558;813676445;2023-02-11;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202302110000;TrafficFlowObserved;bicycle;False
946;813676445;2023-02-12;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202302120000;TrafficFlowObserved;bicycle;False
1864;813676445;2023-02-13;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202302130000;TrafficFlowObserved;bicycle;False
2124;813676445;2023-02-14;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202302140000;TrafficFlowObserved;bicycle;False
1911;813676445;2023-02-15;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202302150000;TrafficFlowObserved;bicycle;False
2080;813676445;2023-02-16;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202302160000;TrafficFlowObserved;bicycle;False
1949;813676445;2023-02-17;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202302170000;TrafficFlowObserved;bicycle;False
1318;813676445;2023-02-18;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202302180000;TrafficFlowObserved;bicycle;False
945;813676445;2023-02-19;3.863965;43.606275;MMM_EcoCompt_X2H21070344_202302190000;TrafficFlowObserved;bicycle;False
