longitude,latitude,jour,intensite
3.6988,43.538,Lundi,133.34615384615384
3.6988,43.538,Mardi,172.21153846153845
3.6988,43.538,Mercredi,152.55769230769232
3.6988,43.538,Jeudi,177.81132075471697
3.6988,43.538,Vendredi,124.59615384615384
3.6988,43.538,Samedi,184.57692307692307
3.6988,43.538,Dimanche,269.68518518518516
3.800261,43.589824,Lundi,310.3255813953488
3.800261,43.589824,Mardi,363.4186046511628
3.800261,43.589824,Mercredi,333.95454545454544
3.800261,43.589824,Jeudi,344.93333333333334
3.800261,43.589824,Vendredi,250.5
3.800261,43.589824,Samedi,283.6818181818182
3.800261,43.589824,Dimanche,358.1818181818182
3.81324,43.5907,Lundi,254.07692307692307
3.81324,43.5907,Mardi,314.13461538461536
3.81324,43.5907,Mercredi,280.61538461538464
3.81324,43.5907,Jeudi,286.8490566037736
3.81324,43.5907,Vendredi,211.65384615384616
3.81324,43.5907,Samedi,215.25
3.81324,43.5907,Dimanche,298.75471698113205
3.815625,43.614932,Lundi,616.0754716981132
3.815625,43.614932,Mardi,706.2777777777778
3.815625,43.614932,Mercredi,593.6111111111111
3.815625,43.614932,Jeudi,623.8181818181819
3.815625,43.614932,Vendredi,539.3703703703703
3.815625,43.614932,Samedi,260.4339622641509
3.815625,43.614932,Dimanche,221.8
3.8224,43.6452,Lundi,341.88461538461536
3.8224,43.6452,Mardi,380.8076923076923
3.8224,43.6452,Mercredi,336.75
3.8224,43.6452,Jeudi,367.45283018867923
3.8224,43.6452,Vendredi,307.8269230769231
3.8224,43.6452,Samedi,201.32692307692307
3.8224,43.6452,Dimanche,217.11111111111111
3.8336,43.61465,Lundi,1009.98
3.8336,43.61465,Mardi,1164.04
3.8336,43.61465,Mercredi,1033.2941176470588
3.8336,43.61465,Jeudi,1048.8235294117646
3.8336,43.61465,Vendredi,936.48
3.8336,43.61465,Samedi,540.36
3.8336,43.61465,Dimanche,455.12
3.852038,43.631989,Lundi,2144.519230769231
3.852038,43.631989,Mardi,2384.346153846154
3.852038,43.631989,Mercredi,2261.3076923076924
3.852038,43.631989,Jeudi,2296.622641509434
3.852038,43.631989,Vendredi,1994.423076923077
3.852038,43.631989,Samedi,893.2115384615385
3.852038,43.631989,Dimanche,680.925925925926
3.85339,43.62387,Lundi,529.2019230769231
3.85339,43.62387,Mardi,611.7884615384615
3.85339,43.62387,Mercredi,571.25
3.85339,43.62387,Jeudi,604.4056603773585
3.85339,43.62387,Vendredi,513.3398058252427
3.85339,43.62387,Samedi,269.8942307692308
3.85339,43.62387,Dimanche,204.18691588785046
3.855992,43.648909,Lundi,343.61538461538464
3.855992,43.648909,Mardi,394.61538461538464
3.855992,43.648909,Mercredi,332.5
3.855992,43.648909,Jeudi,355.0566037735849
3.855992,43.648909,Vendredi,281.2307692307692
3.855992,43.648909,Samedi,108.5
3.855992,43.648909,Dimanche,118.4074074074074
3.859721,43.585203,Lundi,122.64
3.859721,43.585203,Mardi,130.24
3.859721,43.585203,Mercredi,117.54
3.859721,43.585203,Jeudi,129.33333333333334
3.859721,43.585203,Vendredi,117.58
3.859721,43.585203,Samedi,58.68
3.859721,43.585203,Dimanche,46.07692307692308
3.8613,43.5842,Lundi,131.45283018867926
3.8613,43.5842,Mardi,146.1851851851852
3.8613,43.5842,Mercredi,128.42592592592592
3.8613,43.5842,Jeudi,127.2909090909091
3.8613,43.5842,Vendredi,122.79629629629629
3.8613,43.5842,Samedi,73.05660377358491
3.8613,43.5842,Dimanche,57.472727272727276
3.8617,43.5754,Lundi,50.30769230769231
3.8617,43.5754,Mardi,53.73076923076923
3.8617,43.5754,Mercredi,51.76923076923077
3.8617,43.5754,Jeudi,51.679245283018865
3.8617,43.5754,Vendredi,44.05769230769231
3.8617,43.5754,Samedi,28.076923076923077
3.8617,43.5754,Dimanche,19.037037037037038
3.863965,43.606275,Lundi,1822.1176470588234
3.863965,43.606275,Mardi,2131.04
