Departure station,Departure,Return station,Return,Duration (sec.),Covered distance (m),departure_latitude,departure_longitude,return_latitude,return_longitude
Sabines,2023-12-15 23:45:50,Vert Bois,2023-12-16 00:16:11,1812,6391.0,43.5842231,3.8600317,,
Plan Cabanes,2023-12-15 23:45:17,Plan Cabanes,2023-12-15 23:51:58,397,95.0,43.60849965,3.868610969046943,43.60849965,3.868610969046943
Renouvier,2023-12-15 23:36:22,Halles Castellane,2023-12-15 23:41:32,309,1723.0,43.60358,3.8678865,43.61012445,3.876843401959306
Renouvier,2023-12-15 23:35:44,Renouvier,2023-12-15 23:36:05,17,0.0,43.60358,3.8678865,43.60358,3.8678865
Comédie,2023-12-15 23:29:34,Place Albert 1er - St-Charles,2023-12-15 23:36:52,434,1233.0,43.60918635,3.8815040936105776,43.6165623,3.874061
Corum,2023-12-15 23:28:41,Boutonnet,2023-12-15 23:36:34,467,1843.0,43.614366,3.882027979797976,43.6198269,3.8681402
Louis Blanc,2023-12-15 23:28:27,Port Marianne,2023-12-15 23:47:18,1126,3148.0,43.6146919,3.8782052427712976,43.6059165,3.9168169
Aiguelongue,2023-12-15 23:28:21,Vert Bois,2023-12-15 23:43:25,900,1574.0,43.6331438,3.8795261,,
Aiguelongue,2023-12-15 23:28:12,Vert Bois,2023-12-15 23:43:17,901,1707.0,43.6331438,3.8795261,,
Louis Blanc,2023-12-15 23:27:57,Port Marianne,2023-12-15 23:47:52,1189,3404.0,43.6146919,3.8782052427712976,43.6059165,3.9168169
Comédie,2023-12-15 23:27:56,Comédie,2023-12-15 23:29:00,54,8.0,43.60918635,3.8815040936105776,43.60918635,3.8815040936105776
Comédie,2023-12-15 23:26:48,Comédie,2023-12-16 00:40:31,4414,0.0,43.60918635,3.8815040936105776,43.60918635,3.8815040936105776
Comédie,2023-12-15 23:25:32,Comédie,2023-12-15 23:25:54,17,0.0,43.60918635,3.8815040936105776,43.60918635,3.8815040936105776
Observatoire,2023-12-15 23:25:26,Père Soulas,2023-12-15 23:36:39,666,2617.0,43.61452665,3.871080728556718,43.6219699,3.855618
Comédie,2023-12-15 23:25:06,Place Albert 1er - St-Charles,2023-12-15 23:36:59,708,1272.0,43.60918635,3.8815040936105776,43.6165623,3.874061
Place Albert 1er - St-Charles,2023-12-15 23:24:57,Plan Cabanes,2023-12-15 23:30:28,326,1382.0,43.6165623,3.874061,43.60849965,3.868610969046943
Renouvier,2023-12-15 23:24:21,Gambetta,2023-12-15 23:32:05,459,1170.0,43.60358,3.8678865,43.6040006,3.8713632
Antigone Centre,2023-12-15 23:20:32,Corum,2023-12-15 23:37:41,1025,2860.0,43.6079184,3.8905276,43.614366,3.882027979797976
Rue Jules Ferry,2023-12-15 23:13:45,Renouvier,2023-12-15 23:25:04,675,1484.0,43.60538357410034,3.881074193325897,43.60358,3.8678865
Marie Caizergues,2023-12-15 23:06:33,Marie Caizergues,2023-12-15 23:31:46,1509,994.0,43.619655,3.8733067,43.619655,3.8733067
Près d'Arènes,2023-12-15 23:03:12,Renouvier,2023-12-15 23:20:10,1013,2615.0,43.5936317,3.8877518,43.60358,3.8678865
Place Albert 1er - St-Charles,2023-12-15 23:01:03,Vert Bois,2023-12-15 23:20:22,1155,2636.0,43.6165623,3.874061,,
Nouveau Saint-Roch,2023-12-15 22:59:32,Près d'Arènes,2023-12-15 23:04:38,302,1351.0,43.5992903,3.8756446,43.5936317,3.8877518
Montpellier Sud de France,2023-12-15 22:45:38,Comédie,2023-12-15 23:09:07,1405,4768.0,43.595115,3.9239637,43.60918635,3.8815040936105776
Montpellier Sud de France,2023-12-15 22:44:10,Montpellier Sud de France,2023-12-15 22:44:47,32,0.0,43.595115,3.9239637,43.595115,3.9239637
Rue Jules Ferry,2023-12-15 22:36:46,Boutonnet,2023-12-15 22:50:30,820,2577.0,43.60538357410034,3.881074193325897,43.6198269,3.8681402
Tonnelles,2023-12-15 22:35:26,Nouveau Saint-Roch,2023-12-15 23:13:38,2286,8398.0,43.6140875,3.83801455899281,43.5992903,3.8756446
Comédie,2023-12-15 22:30:23,Médiathèque Emile Zola,2023-12-15 22:37:21,414,1408.0,43.60918635,3.8815040936105776,43.6082468,3.8930561
Comédie,2023-12-15 22:29:44,Comédie,2023-12-15 22:30:02,15,0.0,43.60918635,3.8815040936105776,43.60918635,3.8815040936105776
Comédie,2023-12-15 22:29:00,Comédie,2023-12-15 22:29:22,18,0.0,43.60918635,3.8815040936105776,43.60918635,3.8815040936105776
Antigone Centre,2023-12-15 22:21:55,Observatoire,2023-12-15 22:34:00,722,1639.0,43.6079184,3.8905276,43.61452665,3.871080728556718
Jardin de la Lironde,2023-12-15 22:19:59,Marie Caizergues,2023-12-15 22:40:56,1253,4090.0,43.6058517,3.9115715,43.619655,3.8733067
Comédie,2023-12-15 22:19:55,Les Aubes,2023-12-15 22:28:40,522,2084.0,43.60918635,3.8815040936105776,43.6192157,3.8913335
Jardin de la Lironde,2023-12-15 22:18:55,Marie Caizergues,2023-12-15 22:40:57,1318,4192.0,43.6058517,3.9115715,43.619655,3.8733067
