nom,latitude,longitude
Providence-Ovalie,43.5882994,3.8534561
Pérols,45.5848694,1.9776718
Euromédecine,43.638938749999994,3.827694941374258
Malbosc,43.634623000000005,3.833112359072003
Hôtel du Département,43.6219459,3.8349231
Celleneuve,43.6137045,3.8245262
Tonnelles,43.6140875,3.83801455899281
Occitanie,43.6343466,3.8486780499999984
Fac des Sciences,43.6312537,3.8612405
Boutonnet,43.6198269,3.8681402
Charles Flahault,43.6184031,3.8663896
Place Viala,43.6168167,3.8550842
Père Soulas,43.6219699,3.855618
Aiguelongue,43.6331438,3.8795261
Marie Caizergues,43.619655,3.8733067
Jeu de Mail des Abbés,43.6198762,3.8840259
Les Aubes,43.6192157,3.8913335
Louis Blanc,43.6146919,3.8782052427712976
Emile Combes,43.6167422,3.8799722
Corum,43.614366,3.8820279797979755
Beaux-Arts,43.6164388,3.8803169
Les Arceaux,43.6118401,3.8623604
Foch,43.6109947,3.8733344
Plan Cabanes,43.60849965,3.8686109690469426
Gambetta,43.6040006,3.8713632
Renouvier,43.60358,3.8678865
Clémenceau,43.6037498,3.8726199
Halles Castellane,43.61012445,3.876843401959306
Esplanade,43.69762525,4.03065366297958
Comédie,43.60918635,3.8815040936105776
Observatoire,43.61452665,3.871080728556718
Rue Jules Ferry,43.60538357410034,3.8810741933258965
Saint-Denis,43.6050394,3.8750227
Parvis Jules Ferry,43.87068, 3.83801
Nouveau Saint-Roch,43.5992903,3.8756446
Cité Mion,43.6011431,3.8844511
Voltaire,43.6037049,3.8892253
Nombre d'Or,43.6079002,3.8866534
Antigone Centre,43.6079184,3.8905276
Médiathèque Emile Zola,43.6082468,3.8930561
Hôtel de Ville,43.5985194,3.8966318917219365
Port Marianne,43.6059165,3.9168169
Richter,43.6037969,3.8989223
Jardin de la Lironde,43.6058517,3.9115715
Odysseum,43.60441055,3.9212018171142855
Garcia Lorca,43.58775425,3.8871086412808067
Près d'Arènes,43.5936317,3.8877518
Sabines,43.5839323,3.8599044275253203
Rondelet,43.6041463,3.874830799999999
Place Albert 1er - St-Charles,43.6165623,3.874061
Montpellier Sud de France,43.595115,3.9239637
Deux Ponts - Gare Saint-Roch,43.604359,3.8810025
Albert 1er - Cathedrale,43.6148176,3.8737832
Pont de Lattes - Gare St-Roch,43.60431, 3.88106
Saint-Guilhem - Courreau,43.6081132,3.8735064
